# Characters restricted in domain names
# $Revision: 1.32 $
# $Date: 2010-06-19 00:29:21 $
#
# This file contains a draft list of characters for use in
#     UTR #36: Unicode Security Considerations
#     http://unicode.org/draft/reports/tr36/tr36.html
# According to the recommendations in that document, these characters
# would be restricted in domain names: people would only be able to use them
# by using lenient security settings.
#
# If you have any feedback on this list, please use the submission form at:
#     http://unicode.org/reporting.html.
#
# Notes:
# - Characters are listed along with a reason for their removal.
# - Characters listed as ~IDNA are excluded at this point in domain names,
#   in many cases because the international domain name specification does not contain
#   characters beyond Unicode 3.2. At this point in time, feedback on those characters
#   is not relevant.
# - Characters listed as ~Unicode Identifiers are restricted because they
#   do not fit the specification of identifiers given in
#      UAX #31: Identifier and Pattern Syntax
#      http://unicode.org/reports/tr31/
# - Characters listed as ~IICore are restricted because they are Ideographic,
#   but not part of the IICore set defined by the IRG as the minimal set
#   of required ideographs for East Asian use.
# - The files in this directory are 'live', and may change at any time.
#   Please include the above Revision number in your feedback.

017C          ; allowed ; recommended #      (ż)  LATIN SMALL LETTER Z WITH DOT ABOVE
017D          ; allowed ; recommended #      (Ž)  LATIN CAPITAL LETTER Z WITH CARON
017E          ; allowed ; recommended #      (ž)  LATIN SMALL LETTER Z WITH CARON
01A0          ; allowed ; recommended #      (Ơ)  LATIN CAPITAL LETTER O WITH HORN
01A1          ; allowed ; recommended #      (ơ)  LATIN SMALL LETTER O WITH HORN
01AF          ; allowed ; recommended #      (Ư)  LATIN CAPITAL LETTER U WITH HORN
01B0          ; allowed ; recommended #      (ư)  LATIN SMALL LETTER U WITH HORN
01CD          ; allowed ; recommended #      (Ǎ)  LATIN CAPITAL LETTER A WITH CARON
01CE          ; allowed ; recommended #      (ǎ)  LATIN SMALL LETTER A WITH CARON
01CF          ; allowed ; recommended #      (Ǐ)  LATIN CAPITAL LETTER I WITH CARON
01D0          ; allowed ; recommended #      (ǐ)  LATIN SMALL LETTER I WITH CARON
01D1          ; allowed ; recommended #      (Ǒ)  LATIN CAPITAL LETTER O WITH CARON
01D2          ; allowed ; recommended #      (ǒ)  LATIN SMALL LETTER O WITH CARON
01D3          ; allowed ; recommended #      (Ǔ)  LATIN CAPITAL LETTER U WITH CARON
01D4          ; allowed ; recommended #      (ǔ)  LATIN SMALL LETTER U WITH CARON
01D5          ; allowed ; recommended #      (Ǖ)  LATIN CAPITAL LETTER U WITH DIAERESIS AND MACRON
01D6          ; allowed ; recommended #      (ǖ)  LATIN SMALL LETTER U WITH DIAERESIS AND MACRON
01D7          ; allowed ; recommended #      (Ǘ)  LATIN CAPITAL LETTER U WITH DIAERESIS AND ACUTE
01D8          ; allowed ; recommended #      (ǘ)  LATIN SMALL LETTER U WITH DIAERESIS AND ACUTE
01D9          ; allowed ; recommended #      (Ǚ)  LATIN CAPITAL LETTER U WITH DIAERESIS AND CARON
01DA          ; allowed ; recommended #      (ǚ)  LATIN SMALL LETTER U WITH DIAERESIS AND CARON
01DB          ; allowed ; recommended #      (Ǜ)  LATIN CAPITAL LETTER U WITH DIAERESIS AND GRAVE
01DC          ; allowed ; recommended #      (ǜ)  LATIN SMALL LETTER U WITH DIAERESIS AND GRAVE
01DE          ; allowed ; recommended #      (Ǟ)  LATIN CAPITAL LETTER A WITH DIAERESIS AND MACRON
01DF          ; allowed ; recommended #      (ǟ)  LATIN SMALL LETTER A WITH DIAERESIS AND MACRON
01E0          ; allowed ; recommended #      (Ǡ)  LATIN CAPITAL LETTER A WITH DOT ABOVE AND MACRON
01E1          ; allowed ; recommended #      (ǡ)  LATIN SMALL LETTER A WITH DOT ABOVE AND MACRON
01E2          ; allowed ; recommended #      (Ǣ)  LATIN CAPITAL LETTER AE WITH MACRON
01E3          ; allowed ; recommended #      (ǣ)  LATIN SMALL LETTER AE WITH MACRON
01E6          ; allowed ; recommended #      (Ǧ)  LATIN CAPITAL LETTER G WITH CARON
01E7          ; allowed ; recommended #      (ǧ)  LATIN SMALL LETTER G WITH CARON
01E8          ; allowed ; recommended #      (Ǩ)  LATIN CAPITAL LETTER K WITH CARON
01E9          ; allowed ; recommended #      (ǩ)  LATIN SMALL LETTER K WITH CARON
01EA          ; allowed ; recommended #      (Ǫ)  LATIN CAPITAL LETTER O WITH OGONEK
01EB          ; allowed ; recommended #      (ǫ)  LATIN SMALL LETTER O WITH OGONEK
01EC          ; allowed ; recommended #      (Ǭ)  LATIN CAPITAL LETTER O WITH OGONEK AND MACRON
01ED          ; allowed ; recommended #      (ǭ)  LATIN SMALL LETTER O WITH OGONEK AND MACRON
01EE          ; allowed ; recommended #      (Ǯ)  LATIN CAPITAL LETTER EZH WITH CARON
01EF          ; allowed ; recommended #      (ǯ)  LATIN SMALL LETTER EZH WITH CARON
01F0          ; allowed ; recommended #      (ǰ)  LATIN SMALL LETTER J WITH CARON
01F4          ; allowed ; recommended #      (Ǵ)  LATIN CAPITAL LETTER G WITH ACUTE
01F5          ; allowed ; recommended #      (ǵ)  LATIN SMALL LETTER G WITH ACUTE
01F8          ; allowed ; recommended #      (Ǹ)  LATIN CAPITAL LETTER N WITH GRAVE
01F9          ; allowed ; recommended #      (ǹ)  LATIN SMALL LETTER N WITH GRAVE
01FA          ; allowed ; recommended #      (Ǻ)  LATIN CAPITAL LETTER A WITH RING ABOVE AND ACUTE
01FB          ; allowed ; recommended #      (ǻ)  LATIN SMALL LETTER A WITH RING ABOVE AND ACUTE
01FC          ; allowed ; recommended #      (Ǽ)  LATIN CAPITAL LETTER AE WITH ACUTE
01FD          ; allowed ; recommended #      (ǽ)  LATIN SMALL LETTER AE WITH ACUTE
01FE          ; allowed ; recommended #      (Ǿ)  LATIN CAPITAL LETTER O WITH STROKE AND ACUTE
01FF          ; allowed ; recommended #      (ǿ)  LATIN SMALL LETTER O WITH STROKE AND ACUTE
