# Curated file of exceptions
# Source; 	Target; 	Other; 	Reason(s); 	Comments

#@override reason=digraph

1F19B;	0033 0044;	missing_NFKC	 # ( 🆛 → 3D )	SQUARED THREE D → DIGIT THREE + LATIN CAPITAL LETTER D
1F19C;	0032 006E 0064 0020 0053 0063 0072;	missing_NFKC	 # ( 🆜 → 2nd Scr )	SQUARED SECOND SCREEN → DIGIT TWO + LATIN SMALL LETTER N + LATIN SMALL LETTER D + SPACE + LATIN CAPITAL LETTER S + LATIN SMALL LETTER C + LATIN SMALL LETTER R
1F19D;	0020 0032 004B;	missing_NFKC	 # ( 🆝 →  2K )	SQUARED TWO K → SPACE + DIGIT TWO + LATIN CAPITAL LETTER K
1F19E;	0034 004B;	missing_NFKC	 # ( 🆞 → 4K )	SQUARED FOUR K → DIGIT FOUR + LATIN CAPITAL LETTER K
1F19F;	0038 004B;	missing_NFKC	 # ( 🆟 → 8K )	SQUARED EIGHT K → DIGIT EIGHT + LATIN CAPITAL LETTER K
1F1A0;	0020 0035 002E 0031 0020;	missing_NFKC	 # ( 🆠 →  5.1  )	SQUARED FIVE POINT ONE → SPACE + DIGIT FIVE + FULL STOP + DIGIT ONE + SPACE
1F1A1;	0020 0037 002E 0031 0020;	missing_NFKC	 # ( 🆡 →  7.1  )	SQUARED SEVEN POINT ONE → SPACE + DIGIT SEVEN + FULL STOP + DIGIT ONE + SPACE
1F1A2;	0020 0032 0032 002E 0032 0020;	missing_NFKC	 # ( 🆢 →  22.2  )	SQUARED TWENTY-TWO POINT TWO → SPACE + DIGIT TWO + DIGIT TWO + FULL STOP + DIGIT TWO + SPACE
1F1A3;	0020 0036 0030 0050 0020;	missing_NFKC	 # ( 🆣 →  60P  )	SQUARED SIXTY P → SPACE + DIGIT SIX + DIGIT ZERO + LATIN CAPITAL LETTER P + SPACE
1F1A4;	0020 0031 0032 0030 0050 0020;	missing_NFKC	 # ( 🆤 →  120P  )	SQUARED ONE HUNDRED TWENTY P → SPACE + DIGIT ONE + DIGIT TWO + DIGIT ZERO + LATIN CAPITAL LETTER P + SPACE
1F1A5;	0064;	missing_NFKC	 # ( 🆥 → d )	SQUARED LATIN SMALL LETTER D → LATIN SMALL LETTER D
1F1A6;	0020 0048 0043 0020;	missing_NFKC	 # ( 🆦 →  HC  )	SQUARED HC → SPACE + LATIN CAPITAL LETTER H + LATIN CAPITAL LETTER C + SPACE
