24FC2	106/19;HAMBI;saai4
24FEA	107/07;;zaap3
2502C	107/14;MKDHE;jim2
25052	108/05;VSBT;[ng]aau4
2510E	109/04;;cik1
2512B	109/03;BUNHE;gap6
25148	109/05;BUYT;laap3
25160	109/06;;hau1
2517E	109/06;BUIG;zong1
251E3	109/08;BUSUU;gwat6
25232	109/09;;kip1
25236	109/09;;nam6
2528C	109/11;;caau4
25299	109/11;BUHCE;zong1
252C7	109/12;BUFBQ;caang3
252D8	109/13;BUHFB;saau4
2531B	109/15;;lai6
25531	112/10;MRISM;sin3
2553F	112/10;MRBHX;ham2
25945	116/04;;lung1
259F9	116/10;;tam5
25E49	119/05;FDWE;nap6
26097	120/09;FNVIF;sok3
260A5	120/09;VFMRE;dam3
26258	121/12;OUFBH;caang1
265BF	128/10;SJTOR;dap1
26629	130/02;;paa4
266DA	130/07;BOBR;nam6
26716	130/08;BMLM;[ng]aa6
267CC	130/10;BSTV;zin2
26846	130/13;BJCU;fat1
2688A	130/15;BATE;pok1
26893	130/15;BWGG;mak6/2
268C7	130/19;BWLG;lo1
26926	094/15;HKAPV;hot3
269F2	135/11;HRWFV;loe1,loe2
269FA	135/16;HRDLC;laai2
26ED0	140/12;TFYJ;zaau3
27285	142/05;LIRKS;gwaai2
272B6	142/06;LIHND;doe3
272CA	142/07;;saa1
272E6	142/07;LISHU;mei1
27307	142/08;;bang1
27574	142/19;TGLMI;naan3
27639	145/04;LKI;taai1
27685	145/07;;long6
27694	145/07;;tung2
2775E	145/08;LVII;gei1
2789D	147/15;MBBUU;lai6
278C8	148/04;NBHQ;caau1
2797A	149/04;;kwan1
279A0	149/04;YRMSU;[ng]aak1
279DD	149/06;YRMMH;[ng]aa6
27A0A	149/07;YRMHS;zaa6
27A3E	149/08;YRBCD;tam3
27D2F	154/03;BCND;me1
27D84	154/08;BCBSD;zaang1
27ED9	156/06;;mut6
27FD2	157/04;;dam6
27FEB	157/04;;tau2
28023	157/06;RMOYM;kei2
28024	157/06;RMQD;leoi1
28048	157/07;MRMLK;gaang3
28090	157/08;RMDOO;leoi1
280BD	157/09;RMMRE;dam6
280BE	157/09;RMJBJ;naam3
280E9	157/10;RMISM;sin3
2814F	157/12;RMUHI;laam3
2815D	157/12;RMFBH;jaang3
281AA	157/14;;jaang3
281AF	157/14;RMOTO;buk6
28207	157/21;RMSWU;laam3
28256	169/07;ANHXH;nei1,ni1
2827C	158/12;HHMMP;wu3
2829B	158/16;HHMDM;laak3
282CD	159/04;JJIHU;wan1
282E2	159/05;JJYT;lip1
28B4C	167/12;CGTH;baang1,paang1
28CCA	169/02;ANKN;gau1
28CCD	169/02;ANP;cat6
28CD2	169/03;ANF;diu2
28D99	169/10;ANIBP;lan2
294E5	181/07;OUMBC;[ng]ok6
295F4	182/08;HNQKQ;bung6
29720	184/08;OIUMR;[ng]am1,mam1
297D4	184/14;OIJBF;caat3
2994B	187/10;;[ng]au6
29A4D	188/07;BBLWS;peng1
29B0E	190/04;SHHG;jam4/1
2A400	202/06;;naa1
2A4AC	203/12;;nung1
2A601	211/06;YUOMR;kap6
2A632	211/08;YUJBM;ji1
2A65B	211/11;YUSTR;nak1
